query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,4.447790170192338e-5,58,3091,24,0.007764477515367195,0.41379310344827586,GO:0072698,GO:BP,protein localization to microtubule cytoskeleton,21026,17275,
query_1,TRUE,4.547181864854842e-5,159,3964,56,0.014127144298688193,0.3522012578616352,GO:0030010,GO:BP,establishment of cell polarity,21026,6617,
query_1,TRUE,5.013933824246237e-5,794,4203,214,0.050916012372115155,0.2695214105793451,GO:0030155,GO:BP,regulation of cell adhesion,21026,6655,
query_1,TRUE,5.018264263947823e-5,73,3145,28,0.00890302066772655,0.3835616438356164,GO:1901880,GO:BP,negative regulation of protein depolymerization,21026,21539,
query_1,TRUE,5.294636845583974e-5,94,4294,40,0.009315323707498836,0.425531914893617,GO:0032465,GO:BP,regulation of cytokinesis,21026,7526,
query_1,TRUE,5.4437536416266367e-5,291,4645,100,0.021528525296017224,0.3436426116838488,GO:0051054,GO:BP,positive regulation of DNA metabolic process,21026,13291,
query_1,TRUE,5.7031293757009274e-5,96,2183,27,0.012368300503893724,0.28125,GO:0045132,GO:BP,meiotic chromosome segregation,21026,11138,
query_1,TRUE,5.7262579620669686e-5,37,1524,13,0.00853018372703412,0.35135135135135137,GO:0007095,GO:BP,mitotic G2 DNA damage checkpoint signaling,21026,2665,
query_1,TRUE,5.773786096480469e-5,1771,2657,290,0.10914565299209635,0.1637492941840768,GO:0022008,GO:BP,neurogenesis,21026,6530,
query_1,TRUE,5.7986114423592167e-05,3990,3412,749,0.21951934349355218,0.18771929824561404,GO:0019219,GO:BP,regulation of nucleobase-containing compound metabolic process,21026,5566,
query_1,TRUE,6.025291563667945e-5,55,1524,16,0.010498687664041995,0.2909090909090909,GO:0044818,GO:BP,mitotic G2/M transition checkpoint,21026,11026,
query_1,TRUE,6.025291563667945e-5,70,3338,28,0.008388256440982624,0.4,GO:0044773,GO:BP,mitotic DNA damage checkpoint signaling,21026,11002,
query_1,TRUE,6.0306362739785144e-5,2713,2602,414,0.15910837817063797,0.15259859933652783,GO:0009653,GO:BP,anatomical structure morphogenesis,21026,3557,
query_1,TRUE,6.354073945216412e-5,23,3906,15,0.0038402457757296467,0.6521739130434783,GO:0051988,GO:BP,regulation of attachment of spindle microtubules to kinetochore,21026,13856,
query_1,TRUE,6.637838854402717e-5,75,4110,33,0.008029197080291971,0.44,GO:0032481,GO:BP,positive regulation of type I interferon production,21026,7538,
query_1,TRUE,6.652364569421262e-5,183,2743,48,0.017499088589135983,0.26229508196721313,GO:0008361,GO:BP,regulation of cell size,21026,3166,
query_1,TRUE,7.173554261139968e-5,7,772,5,0.006476683937823834,0.7142857142857143,GO:0086042,GO:BP,cardiac muscle cell-cardiac muscle cell adhesion,21026,17669,
query_1,TRUE,7.391829860422666e-5,69,1524,18,0.011811023622047244,0.2608695652173913,GO:0010972,GO:BP,negative regulation of G2/M transition of mitotic cell cycle,21026,4528,
query_1,TRUE,7.619382637391645e-5,91,3145,32,0.010174880763116057,0.3516483516483517,GO:1901879,GO:BP,regulation of protein depolymerization,21026,21538,
query_1,TRUE,7.619382637391645e-5,105,1643,24,0.014607425441265977,0.22857142857142856,GO:2001252,GO:BP,positive regulation of chromosome organization,21026,25987,
query_1,TRUE,8.012519549795208e-5,202,2183,44,0.02015574896930829,0.21782178217821782,GO:0140013,GO:BP,meiotic nuclear division,21026,19371,
query_1,TRUE,8.021793219025108e-5,26,2877,14,0.004866180048661801,0.5384615384615384,GO:0032727,GO:BP,positive regulation of interferon-alpha production,21026,7717,
query_1,TRUE,8.372092238599256e-5,1855,4165,446,0.1070828331332533,0.24043126684636118,GO:0051246,GO:BP,regulation of protein metabolic process,21026,13411,
query_1,TRUE,8.4513707253549e-5,2410,4057,552,0.13606112891298988,0.22904564315352696,GO:0006793,GO:BP,phosphorus metabolic process,21026,2471,
query_1,TRUE,9.26213376080672e-5,2407,4057,551,0.13581464136061128,0.2289156626506024,GO:0006796,GO:BP,phosphate-containing compound metabolic process,21026,2474,
query_1,TRUE,9.447976682256114e-5,234,3964,74,0.01866801210898083,0.3162393162393162,GO:0007163,GO:BP,establishment or maintenance of cell polarity,21026,2714,
query_1,TRUE,9.948733386635369e-5,144,3505,47,0.013409415121255349,0.3263888888888889,GO:0000018,GO:BP,regulation of DNA recombination,21026,6,
query_1,TRUE,1.0105540420281654e-4,284,678,26,0.038348082595870206,0.09154929577464789,GO:0098742,GO:BP,cell-cell adhesion via plasma-membrane adhesion molecules,21026,18618,
query_1,TRUE,1.0123633755698236e-4,15,5587,13,0.0023268301413996778,0.8666666666666667,GO:0006999,GO:BP,nuclear pore organization,21026,2601,
query_1,TRUE,1.0266634898041673e-4,141,2701,39,0.014439096630877453,0.2765957446808511,GO:0010212,GO:BP,response to ionizing radiation,21026,3978,
query_1,TRUE,1.0789358503018836e-4,71,1524,18,0.011811023622047244,0.2535211267605634,GO:1902750,GO:BP,negative regulation of cell cycle G2/M phase transition,21026,22171,
query_1,TRUE,1.0789358503018836e-4,33,1866,13,0.006966773847802787,0.3939393939393939,GO:0051642,GO:BP,centrosome localization,21026,13665,
query_1,TRUE,1.0789358503018836e-4,33,1866,13,0.006966773847802787,0.3939393939393939,GO:0061842,GO:BP,microtubule organizing center localization,21026,15463,
query_1,TRUE,1.0789358503018836e-4,74,4951,36,0.007271258331650172,0.4864864864864865,GO:0051298,GO:BP,centrosome duplication,21026,13447,
query_1,TRUE,1.0789358503018836e-4,960,4327,256,0.05916339265079732,0.26666666666666666,GO:0030334,GO:BP,regulation of cell migration,21026,6743,
query_1,TRUE,1.0789358503018836e-4,1536,2218,218,0.09828674481514878,0.14192708333333334,GO:0048699,GO:BP,generation of neurons,21026,12789,
query_1,TRUE,1.0900625364696532e-4,43,754,10,0.013262599469496022,0.23255813953488372,GO:0030866,GO:BP,cortical actin cytoskeleton organization,21026,6910,
